symbol,yf_ticker,reason
SGLRES,SGLRES.NS,no_ohlc_after_retry
SGRL,SGRL.NS,no_ohlc_after_retry
SHERVANI,SHERVANI.NS,no_ohlc_after_retry
SHILGRAVQ,SHILGRAVQ.NS,no_ohlc_after_retry
SHIVAAGRO,SHIVAAGRO.NS,no_ohlc_after_retry
SHIVACEM,SHIVACEM.NS,no_ohlc_after_retry
SHRJAGP,SHRJAGP.NS,no_ohlc_after_retry
SIEL,SIEL.NS,no_ohlc_after_retry
SIMPLXREA,SIMPLXREA.NS,no_ohlc_after_retry
SRIKPRIND,SRIKPRIND.NS,no_ohlc_after_retry
STLSTRINF,STLSTRINF.NS,no_ohlc_after_retry
SUMEDHA,SUMEDHA.NS,no_ohlc_after_retry
SUNLOC,SUNLOC.NS,no_ohlc_after_retry
SUNRAKSHAK,SUNRAKSHAK.NS,no_ohlc_after_retry
SUNSHIEL,SUNSHIEL.NS,no_ohlc_after_retry
SUPTANERY,SUPTANERY.NS,no_ohlc_after_retry
SVGLOBAL,SVGLOBAL.NS,no_ohlc_after_retry
SWARNSAR,SWARNSAR.NS,no_ohlc_after_retry
SWISSMLTRY,SWISSMLTRY.NS,no_ohlc_after_retry
TANAA,TANAA.NS,no_ohlc_after_retry
TERAI,TERAI.NS,no_ohlc_after_retry
TOYAMSL,TOYAMSL.NS,no_ohlc_after_retry
TRANSCOR,TRANSCOR.NS,no_ohlc_after_retry
TRITONV,TRITONV.NS,no_ohlc_after_retry
UDAYJEW,UDAYJEW.NS,no_ohlc_after_retry
UPHOT,UPHOT.NS,no_ohlc_after_retry
VADILENT,VADILENT.NS,no_ohlc_after_retry
VASUPRADA,VASUPRADA.NS,no_ohlc_after_retry
VEDAVAAG,VEDAVAAG.NS,no_ohlc_after_retry
VGCL,VGCL.NS,no_ohlc_after_retry
VIJSOLX,VIJSOLX.NS,no_ohlc_after_retry
VIRAT,VIRAT.NS,no_ohlc_after_retry
VIRTUALG,VIRTUALG.NS,no_ohlc_after_retry
VISDEM,VISDEM.NS,no_ohlc_after_retry
VIVOBIOT,VIVOBIOT.NS,no_ohlc_after_retry
VTMLTD,VTMLTD.NS,no_ohlc_after_retry
WARDINMOBI,WARDINMOBI.NS,no_ohlc_after_retry
WATERBASE,WATERBASE.NS,no_ohlc_after_retry
WHBRADY,WHBRADY.NS,no_ohlc_after_retry
YOGI,YOGI.NS,no_ohlc_after_retry
