symbol,yf_ticker,reason,bars,updated_at
CONNPLEX,CONNPLEX.NS,exception_no_yahoo_data,0,2026-07-26T19:55:12
CSSL,CSSL.NS,exception_no_yahoo_data,0,2026-07-26T19:59:21
CUBEINVIT,CUBEINVIT.NS,exception_no_yahoo_data,0,2026-07-26T19:40:43
CUDML,CUDML.NS,exception_no_yahoo_data,0,2026-07-26T19:58:53
CURIS,CURIS.NS,exception_no_yahoo_data,0,2026-07-26T20:06:27
CURRENT,CURRENT.NS,exception_no_yahoo_data,0,2026-07-26T20:00:23
DANISH,DANISH.NS,exception_no_yahoo_data,0,2026-07-26T19:47:58
DCCL,DCCL.NS,exception_no_yahoo_data,0,2026-07-26T20:07:49
DECCANTRAN,DECCANTRAN.NS,exception_no_yahoo_data,0,2026-07-26T20:09:43
DELTIC,DELTIC.NS,exception_no_yahoo_data,0,2026-07-26T20:09:20
DHANSA,DHANSA.NS,exception_no_yahoo_data,0,2026-07-26T20:08:50
DHARARAIL,DHARARAIL.NS,exception_no_yahoo_data,0,2026-07-26T20:00:31
DHARIWAL,DHARIWAL.NS,exception_no_yahoo_data,0,2026-07-26T20:02:19
DIVINEHIRA,DIVINEHIRA.NS,exception_no_yahoo_data,0,2026-07-26T19:54:36
DIVYADHAN,DIVYADHAN.NS,exception_no_yahoo_data,0,2026-07-26T20:07:15
E2ERAIL,E2ERAIL.NS,exception_no_yahoo_data,0,2026-07-26T19:54:16
ECOLINE,ECOLINE.NS,exception_no_yahoo_data,0,2026-07-26T19:54:54
EEPL,EEPL.NS,exception_no_yahoo_data,0,2026-07-26T20:03:46
ELGNZ,ELGNZ.NS,exception_no_yahoo_data,0,2026-07-26T19:59:06
EMAPARTNER,EMAPARTNER.NS,exception_no_yahoo_data,0,2026-07-26T20:00:53
EMBASSY.RR,EMBASSY.RR.NS,exception_no_yahoo_data,0,2026-07-26T19:39:49
ENCOMPAS,ENCOMPAS.NS,exception_no_yahoo_data,0,2026-07-26T19:56:49
ENVIRO,ENVIRO.NS,exception_no_yahoo_data,0,2026-07-26T20:03:00
EPWINDIA,EPWINDIA.NS,exception_no_yahoo_data,0,2026-07-26T19:57:03
