symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
DIACABS,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,3.279147982062777,63.05309734513274,-0.97,1.32,-0.98,4.25,61.73,64.03
CESC,Utilities,Electric Utilities,NIFTY_ENERGY,industry,3.108680960865025,5.447348580045247,-0.97,1.32,-2.39,4.08,4.13,7.84
URBANCO,Technology Services,Packaged Software,NIFTY_IT,industry,1.0073452256033564,9.320109024833412,-0.97,1.32,10.24,1.98,8.0,-0.92
TENNIND,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,-4.902826855123675,-6.22822299651568,-0.97,1.32,1.4,-3.93,-7.55,-7.63
RAMCOCEM,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,-3.489361702127655,-2.5668564064010284,-0.97,1.32,-0.98,-2.52,-3.89,-1.59
HATSUN,Consumer Non-Durables,Food: Meat/Fish/Dairy,NIFTY_FMCG,sector,5.786550180661164,4.501624846838208,-0.97,1.32,-1.63,6.76,3.18,6.13
CUBEINVIT,Miscellaneous,Investment Trusts/Mutual Funds,,unmapped,0.3720050441361938,3.7744458930899554,-0.97,1.32,,1.34,2.45,
PFOCUS,Consumer Services,Movies/Entertainment,NIFTY_FMCG,sector,-5.053706638492681,-1.497990500548033,-0.97,1.32,-1.63,-4.08,-2.82,0.13
CEMPRO,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,5.242686978364804,-19.32919254658385,-0.97,1.32,-0.98,6.21,-20.65,-18.35
GRANULES,Health Technology,Pharmaceuticals: Other,NIFTY_PHARMA,industry,2.1783121057016968,-4.516129032258067,-0.97,1.32,3.01,3.15,-5.84,-7.53
IGL,Utilities,Gas Distributors,NIFTY_ENERGY,industry,-2.129032258064524,-0.197368421052639,-0.97,1.32,-2.39,-1.16,-1.52,2.19
AETHER,Process Industries,Chemicals: Major Diversified,,unmapped,2.85443037974683,12.4636678200692,-0.97,1.32,,3.82,11.14,
CUB,Finance,Regional Banks,NIFTY_BANK,industry,-0.1722488038277577,-5.254075655056547,-0.97,1.32,-0.21,0.8,-6.57,-5.04
IFCI,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,3.012451466059713,3.2474503488996267,-0.97,1.32,1.89,3.98,1.93,1.36
ATUL,Process Industries,Chemicals: Agricultural,,unmapped,-2.4782608695652173,10.8201581027668,-0.97,1.32,,-1.51,9.5,
KAJARIACER,Producer Manufacturing,Building Products,NIFTY_INFRA,sector,6.672340425531923,1.0806451612903298,-0.97,1.32,-0.98,7.64,-0.24,2.06
CHENNPETRO,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,6.958491787361437,18.449820788530477,-0.97,1.32,-2.39,7.93,17.13,20.84
LMW,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,12.826475849731665,16.544502617801047,-0.97,1.32,-0.98,13.8,15.22,17.52
SAGILITY,Commercial Services,Miscellaneous Commercial Services,,unmapped,-3.580387685290765,0.9069212410501256,-0.97,1.32,,-2.61,-0.41,
SHRIPISTON,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,4.474418604651154,6.492829204693603,-0.97,1.32,1.4,5.44,5.17,5.09
AARTIIND,Process Industries,Chemicals: Major Diversified,,unmapped,6.820000000000005,9.77289076148392,-0.97,1.32,,7.79,8.45,
ASTRAZEN,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-4.625415180218969,-6.579105916375467,-0.97,1.32,3.01,-3.66,-7.9,-9.59
CAMS,Technology Services,Information Technology Services,NIFTY_IT,industry,-4.837702871410737,-0.3594771241830065,-0.97,1.32,10.24,-3.87,-1.68,-10.6
BRIGADE,Finance,Real Estate Development,NIFTY_REALTY,industry,3.999648382559776,6.336509077835701,-0.97,1.32,12.78,4.97,5.02,-6.44
SUNTV,Consumer Services,Broadcasting,NIFTY_FMCG,sector,-1.4239218877135882,-2.1010101010100963,-0.97,1.32,-1.63,-0.45,-3.42,-0.47
PINELABS,Technology Services,Packaged Software,NIFTY_IT,industry,5.679487179487189,4.593325720086289,-0.97,1.32,10.24,6.65,3.27,-5.65
HBLENGINE,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,-7.561307901907357,-9.170013386880855,-0.97,1.32,-0.98,-6.59,-10.49,-8.19
ERIS,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-1.9133574007220215,-5.986159169550173,-0.97,1.32,3.01,-0.94,-7.31,-9.0
FINCABLES,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,19.88942307692307,20.120423892100185,-0.97,1.32,-0.98,20.86,18.8,21.1
FSL,Commercial Services,Miscellaneous Commercial Services,,unmapped,-6.280701754385957,1.5589353612167387,-0.97,1.32,,-5.31,0.24,
CAPLIPOINT,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-3.856589147286822,-7.031220718863608,-0.97,1.32,3.01,-2.89,-8.35,-10.04
HAPPYFORGE,Producer Manufacturing,Metal Fabrication,NIFTY_INFRA,industry,10.566696650616423,29.764640129168477,-0.97,1.32,-0.98,11.54,28.44,30.74
JYOTICNC,Producer Manufacturing,Metal Fabrication,NIFTY_INFRA,industry,-4.221926217640592,4.816833565724426,-0.97,1.32,-0.98,-3.25,3.5,5.8
GMDCLTD,Distribution Services,Wholesale Distributors,,unmapped,-2.22222222222223,-1.2244897959183751,-0.97,1.32,,-1.25,-2.54,
TRITURBINE,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-7.869362363919132,-2.6618468616496958,-0.97,1.32,-0.98,-6.9,-3.98,-1.68
EIHOTEL,Consumer Services,Hotels/Resorts/Cruise lines,NIFTY_FMCG,sector,-6.140624999999993,-10.31651239175872,-0.97,1.32,-1.63,-5.17,-11.64,-8.69
SAMMAANCAP,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-8.748502994011984,-5.34782608695653,-0.97,1.32,1.89,-7.78,-6.67,-7.24
CASTROLIND,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-3.7010309278350553,1.7870763866187214,-0.97,1.32,-2.39,-2.73,0.47,4.18
GESHIP,Transportation,Marine Shipping,,unmapped,-4.858899340789565,-10.174825174825177,-0.97,1.32,,-3.89,-11.49,
SARDAEN,Non-Energy Minerals,Steel,NIFTY_METAL,industry,6.039129566779796,7.531126632250226,-0.97,1.32,-4.41,7.01,6.21,11.94
DEEPAKFERT,Process Industries,Chemicals: Agricultural,,unmapped,-3.916784384230127,-3.4580645161290264,-0.97,1.32,,-2.95,-4.78,
POLYMED,Health Technology,Medical Specialties,NIFTY_PHARMA,industry,4.157676832468363,6.766288105200242,-0.97,1.32,3.01,5.13,5.45,3.76
OLAELEC,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-6.539575289575293,-2.3695487774136748,-0.97,1.32,1.4,-5.57,-3.69,-3.77
BAYERCROP,Process Industries,Chemicals: Agricultural,,unmapped,-4.011957579064734,-1.3219512195121907,-0.97,1.32,,-3.04,-2.64,
TRAVELFOOD,Consumer Services,Restaurants,NIFTY_FMCG,sector,-1.094202898550718,3.4093491931206907,-0.97,1.32,-1.63,-0.12,2.09,5.04
ELGIEQUIP,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,2.956081081081081,5.751713368612818,-0.97,1.32,-0.98,3.93,4.43,6.73
CHOICEIN,Commercial Services,Miscellaneous Commercial Services,,unmapped,-3.323317307692305,-1.185503685503683,-0.97,1.32,,-2.35,-2.51,
CHALET,Consumer Services,Hotels/Resorts/Cruise lines,NIFTY_FMCG,sector,-4.058139534883718,-3.604182487294821,-0.97,1.32,-1.63,-3.09,-4.92,-1.97
ONESOURCE,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,0.7235142118863078,-6.511572130950948,-0.97,1.32,3.01,1.69,-7.83,-9.52
BASF,Process Industries,Chemicals: Specialty,,unmapped,1.7440119760479065,12.848682754040295,-0.97,1.32,,2.71,11.53,
JSWCEMENT,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,-1.7975830815709934,-4.990865911582013,-0.97,1.32,-0.98,-0.83,-6.31,-4.01
CHAMBLFERT,Process Industries,Chemicals: Specialty,,unmapped,-3.7085372485046246,-2.7032967032967057,-0.97,1.32,,-2.74,-4.02,
EMAMILTD,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,-1.634146341463412,-4.135963869740903,-0.97,1.32,-1.63,-0.66,-5.46,-2.51
INOXINDIA,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-0.2515529544637861,3.1371091883857902,-0.97,1.32,-0.98,0.72,1.82,4.12
ECLERX,Commercial Services,Miscellaneous Commercial Services,,unmapped,2.0331325301204792,10.612244897959185,-0.97,1.32,,3.0,9.29,
ABDL,Consumer Non-Durables,Beverages: Alcoholic,NIFTY_FMCG,industry,-1.5196320026285526,-4.087999999999993,-0.97,1.32,-1.63,-0.55,-5.41,-2.46
PGEL,Electronic Technology,Electronic Production Equipment,NIFTY_IT,sector,-2.165065928699325,-0.3977461054027141,-0.97,1.32,10.24,-1.2,-1.72,-10.64
TBOTEK,Technology Services,Internet Software/Services,NIFTY_IT,industry,1.1206042595344172,12.563749138525152,-0.97,1.32,10.24,2.09,11.24,2.32
J&KBANK,Finance,Regional Banks,NIFTY_BANK,industry,-2.8250000000000064,-13.236607142857144,-0.97,1.32,-0.21,-1.86,-14.56,-13.03
ARE&M,Producer Manufacturing,Electrical Products,NIFTY_INFRA,industry,1.917793460108826,5.692737430167603,-0.97,1.32,-0.98,2.89,4.37,6.67
VERTIS,Miscellaneous,Investment Trusts/Mutual Funds,,unmapped,2.6548672566371683,5.406633348477967,-0.97,1.32,,3.62,4.09,
CMPDI,Commercial Services,Miscellaneous Commercial Services,,unmapped,-2.366255144032922,-13.063393184316592,-0.97,1.32,,-1.4,-14.38,
AZAD,Producer Manufacturing,Metal Fabrication,NIFTY_INFRA,industry,10.704684317718948,13.241666666666674,-0.97,1.32,-0.98,11.67,11.92,14.22
TATACHEM,Process Industries,Chemicals: Agricultural,,unmapped,-0.7032869410719573,-4.4658119658119695,-0.97,1.32,,0.27,-5.79,
VTL,Process Industries,Textiles,,unmapped,-2.3801652892561944,-8.724209875589201,-0.97,1.32,,-1.41,-10.04,
DEVYANI,Consumer Services,Restaurants,NIFTY_FMCG,sector,16.68831168831168,28.84029395949094,-0.97,1.32,-1.63,17.66,27.52,30.47
NATCOPHARM,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-1.176277492066966,-7.32170343766034,-0.97,1.32,3.01,-0.21,-8.64,-10.33
MINDACORP,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,0.5656424581005524,6.343228474376004,-0.97,1.32,1.4,1.54,5.02,4.94
KPITTECH,Technology Services,Packaged Software,NIFTY_IT,industry,-1.4446227929373996,11.030741410488243,-0.97,1.32,10.24,-0.47,9.71,0.79
COHANCE,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,1.0665137614678848,0.2274536563175253,-0.97,1.32,3.01,2.04,-1.09,-2.78
THELEELA,Consumer Services,Hotels/Resorts/Cruise lines,NIFTY_FMCG,sector,-0.5750487329434676,2.4505373104348678,-0.97,1.32,-1.63,0.39,1.13,4.08
INDIGRID,Finance,Financial Conglomerates,NIFTY_FIN_SERVICE,industry,0.2805049088359046,0.4326328800988933,-0.97,1.32,1.89,1.25,-0.89,-1.46
CENTURYPLY,Producer Manufacturing,Building Products,NIFTY_INFRA,sector,-3.740695973026285,-3.211155888185252,-0.97,1.32,-0.98,-2.77,-4.53,-2.23
KANSAINER,Process Industries,Industrial Specialties,,unmapped,-3.072334785078588,3.912911084043853,-0.97,1.32,,-2.1,2.59,
AEQUS,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,4.016666666666661,2.31147540983606,-0.97,1.32,10.24,4.99,0.99,-7.93
JINDALSAW,Non-Energy Minerals,Steel,NIFTY_METAL,industry,1.5589353612167387,5.5731225296442775,-0.97,1.32,-4.41,2.53,4.25,9.98
ALIVUS,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,4.302369311771346,18.826049700085694,-0.97,1.32,3.01,5.27,17.51,15.82
GRWRHITECH,Process Industries,Chemicals: Specialty,,unmapped,-3.8717114184974233,0.4606009070294785,-0.97,1.32,,-2.9,-0.86,
PSB,Finance,Major Banks,NIFTY_BANK,industry,-1.6263552960800691,-4.87903225806452,-0.97,1.32,-0.21,-0.66,-6.2,-4.67
