symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
RKFORGE,767.25,659.1,553.25,,,,False,646225.8,0.182,4.557,,5539
RKSWAMY,96.49,86.83,86.83,96.49,86.83,20.0,False,28686.25,0.174,2.632,-6.726,629
RMC,262.25,194.1,194.1,,,,False,56542.35,0.102,4.835,,122
RMDRIP,24.75,19.25,16.72,,,,False,391530.7,0.109,5.442,,2219
RML,1440.0,1100.0,1028.7,,,,False,207478.15,0.044,4.241,,5201
RNBDENIMS,11.93,8.72,7.72,,,,False,315130.05,0.091,5.275,,264
ROCKINGDCE,254.8,201.6,149.9,,,,False,8862.5,0.48,3.288,,694
ROHLTD,314.0,292.0,292.0,314.0,292.0,20.0,False,14516.55,0.099,2.32,-2.548,5091
ROLEXRINGS,188.55,160.74,134.55,,,,False,1267364.05,1.701,4.261,,1271
ROLLT,6.57,3.77,1.95,,,,True,733905.95,0.734,8.889,,2435
ROML,44.26,39.55,39.55,,,,False,3685.25,0.927,3.551,,4224
ROSSARI,504.7,428.3,428.3,,,,False,64123.55,0.227,7.894,,1533
ROSSELLIND,73.0,50.43,50.43,,,,False,181369.9,0.061,10.788,,3453
ROSSTECH,1505.0,1091.0,890.0,,,,False,488768.4,0.293,5.205,,447
ROTO,67.45,60.15,60.15,,,,False,364742.1,0.143,3.067,,1099
ROUTE,531.0,457.6,457.6,,,,False,219288.4,3.331,4.656,,1491
ROXHITECH,54.0,43.0,33.95,,,,False,27040.0,0.533,7.299,,705
RPEL,1943.7,1507.2,1202.7,,,,False,130980.55,0.187,4.033,,531
RPGLIFE,2961.8999,2490.1001,2490.1001,,,,False,18639.8,1.344,3.451,,5988
RPOWER,22.93,20.51,20.51,,,,False,16823438.75,0.467,4.137,,4593
RPPINFRA,65.39,53.0,53.0,,,,False,193656.55,0.051,3.862,,3900
RPPL,24.0,19.15,19.15,,,,False,40890.75,0.151,4.344,,1967
RPSGVENT,888.8,803.15,803.15,888.8,803.15,20.0,False,27122.55,0.188,2.93,-4.692,1895
RPTECH,900.95,765.0,703.7,,,,False,312561.4,0.39,3.398,,649
RRECL,152.0,121.2,121.2,152.0,121.2,20.0,False,585.75,0.266,2.952,-9.868,26
RRIL,17.88,15.35,15.06,,,,False,20977.95,0.025,3.132,,109
RRKABEL,2980.0,2340.2,2246.3,,,,False,607420.7,0.212,7.909,,745
RSDFIN,116.79,88.0,65.6,,,,False,1164.6,0.189,5.237,,102
RSL,202.22,165.94,125.79,,,,False,495929.8,0.139,4.113,,131
RSSOFTWARE,33.94,27.29,27.29,,,,False,38889.9,0.093,5.656,,6018
RSWM,235.0,195.0,191.0,,,,False,65628.15,0.285,3.712,,6018
RSYSTEMS,260.0,235.37,235.37,,,,False,169070.45,0.351,3.19,,5041
RTNINDIA,30.49,24.95,24.95,,,,False,1670535.5,0.265,5.462,,3493
RTNPOWER,8.13,6.95,6.95,,,,False,22829503.4,0.227,6.688,,4175
RTSPOWR,99.0,68.88,68.88,,,,False,2210.55,0.049,4.334,,26
RUBFILA,72.0,62.25,62.25,,,,False,52610.35,0.149,3.161,,527
RUBICON,1899.0,1632.2,1390.3,,,,False,233934.25,0.664,3.999,,234
RUBYMILLS,515.0,372.0,339.0,,,,False,32143.75,1.994,3.581,,6015
RUCHINFRA,6.63,4.42,4.42,,,,False,121968.65,0.463,5.751,,5974
RUCHIRA,113.97,101.15,99.91,,,,False,55847.05,0.138,3.34,,4875
RUDRA,21.74,19.55,16.01,21.74,19.55,20.0,False,129578.85,0.088,2.863,-7.176,191
RULKA,115.0,103.0,99.0,115.0,103.0,20.0,False,8355.0,1.831,2.579,-5.826,579
RUPA,151.08,130.0,130.0,,,,False,89600.65,0.507,6.48,,3654
RUSHIL,18.3,13.91,13.91,,,,False,530894.4,0.143,4.593,,3754
RUSTOMJEE,385.0,331.9,331.9,,,,False,74057.95,0.04,5.161,,949
RVHL,42.0,37.11,37.11,42.0,37.11,20.0,False,8903.35,0.26,2.534,-5.238,1426
RVNL,221.8,195.15,195.15,,,,False,4458263.9,0.21,5.101,,1846
RVTH,799.0,613.5,613.5,,,,False,1367.95,0.234,4.655,,506
S&SPOWER,367.0,305.9,270.0,,,,False,3524.85,0.021,3.159,,1606
