trade_id,symbol,company,risk_sector,date_opened,taken,entry,stop,t1,t2,t3,structure_invalidation,horizon_days_t1,horizon_days_t2,score_at_open,qty,risk_rupees,status,last_price,last_checked,mfe_pct,mae_pct,gap_flag,hit_t1,hit_t2,reconfirmed_count,notes,date_closed,exit_price,exit_reason,pct_return,r_multiple,days_held
2026-08-10-EMCURE,EMCURE,Emcure Pharmaceuticals Limited,Health Technology,2026-08-10,,1995.2,1878.59,2228.42,2345.04,2461.65,1838.79,17,22,81.8,5,583.0,closed,1873.9,2026-08-17,2.65,-6.33,False,False,False,7,,2026-08-17,1873.9,stop,-6.08,-1.04,5
2026-08-12-BTML,BTML,Bodhi Tree Multimedia Ltd.,Consumer Services,2026-08-12,,8.55,7.87,10.5,11.18,11.87,7.23,11,19,80.4,1169,795.0,closed,7.92,2026-08-20,7.02,-8.19,False,False,False,1,,2026-08-20,7.92,stop,-7.37,-0.93,6
2026-07-27-CREDITACC,CREDITACC,CreditAccess Grameen Ltd.,NBFC & Capital Markets,2026-07-27,,1597.3,1492.91,1806.07,1910.46,2014.85,1437.16,17,22,80.2,6,626.0,closed,1496.1,2026-08-21,2.3,-7.46,False,False,False,0,,2026-08-21,1496.1,stop,-6.34,-0.97,19
2026-08-04-IFBIND,IFBIND,IFB Industries Ltd,Consumer Durables,2026-08-04,,1354.0,1306.54,1473.0,1520.46,1567.93,1344.53,7,13,82.0,7,332.0,closed,1393.2,2026-08-24,9.02,-0.5,False,False,False,0,,2026-08-24,1393.2,time_stop,2.9,0.83,14
2026-08-12-CASTROLIND,CASTROLIND,Castrol India Limited,Energy Minerals,2026-08-12,,188.38,185.55,195.0,197.83,200.66,188.36,6,12,87.8,53,150.0,closed,186.75,2026-08-26,1.34,-1.5,False,False,False,7,,2026-08-26,186.75,stop,-0.87,-0.58,10
2026-07-27-UJJIVANSFB,UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Banks,2026-07-27,,71.57,65.96,82.79,88.4,94.01,60.99,17,22,87.7,139,780.0,closed,68.99,2026-08-27,3.31,-4.64,False,False,False,17,,2026-08-27,68.99,time_stop,-3.6,-0.46,23
2026-07-28-IIFL,IIFL,IIFL Finance Limited,NBFC & Capital Markets,2026-07-28,,582.35,541.29,675.0,716.06,757.12,525.88,21,22,89.5,17,698.0,closed,635.65,2026-08-28,21.06,-1.61,False,True,False,22,,2026-08-28,635.65,time_stop,9.15,1.3,23
2026-08-08-M&M,M&M,Mahindra & Mahindra Ltd.,Consumer Durables,2026-08-08,,3502.0,3322.9,3860.19,4039.29,4218.39,3364.13,19,22,81.0,2,358.0,closed,3334.0,2026-08-28,0.93,-5.71,False,False,False,3,,2026-08-28,3334.0,stop,-4.8,-0.94,15
2026-08-16-GOLDIAM,GOLDIAM,Goldiam International Limited,Consumer Durables,2026-08-16,,365.65,341.83,413.29,437.11,460.94,351.43,7,14,80.2,27,643.0,closed,348.55,2026-08-28,3.38,-5.35,False,False,False,1,,2026-08-28,348.55,invalidated,-4.68,-0.72,10
2026-08-07-SUPRAJIT,SUPRAJIT,Suprajit Engineering Limited,Producer Manufacturing,2026-08-07,,527.55,496.77,589.1,619.88,650.65,480.68,16,22,82.1,18,554.0,closed,507.45,2026-09-01,6.01,-5.87,False,False,False,0,,2026-09-01,507.45,stop,-3.81,-0.65,17
2026-08-10-STYLAMIND,STYLAMIND,Stylam Industries Limited,Non-Energy Minerals,2026-08-10,,3651.2,3359.1,4235.39,4527.49,4819.58,3275.97,14,22,83.0,2,584.0,closed,3365.0,2026-09-01,3.09,-8.57,False,False,False,19,,2026-09-01,3365.0,stop,-7.84,-0.98,16
2026-08-13-AJANTPHARM,AJANTPHARM,Ajanta Pharma Limited,Health Technology,2026-08-13,,3614.6,3420.26,4003.29,4197.63,4391.97,3342.43,17,22,82.3,2,389.0,closed,3446.9,2026-09-02,5.02,-5.11,False,False,False,3,,2026-09-02,3446.9,invalidated,-4.64,-0.86,14
2026-08-15-KENNAMET,KENNAMET,Kennametal India Limited,Producer Manufacturing,2026-08-15,,3513.3,3232.24,4075.43,4356.49,4637.56,3001.23,14,22,88.7,2,562.0,closed,4673.5,2026-09-02,38.33,-0.95,False,True,True,9,,2026-09-02,4673.5,t3,33.02,4.13,13
2026-08-31-LAURUSLABS,LAURUSLABS,Laurus Labs Ltd.,Health Technology,2026-08-31,,1915.0,1825.11,2094.77,2184.66,2274.54,1769.4,16,22,81.8,5,449.0,closed,1818.3,2026-09-02,1.78,-5.1,False,False,False,2,,2026-09-02,1818.3,stop,-5.05,-1.08,2
2026-08-07-MANAKSTEEL,MANAKSTEEL,Manaksia Steels Ltd,Non-Energy Minerals,2026-08-07,,84.43,77.68,97.94,104.69,111.45,73.06,8,17,80.4,118,796.0,closed,114.76,2026-09-03,35.92,-5.0,False,True,True,17,,2026-09-03,114.76,t3,35.92,4.49,19
