symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
INDHOTEL,33059,32975,84,0.25,2138,2662.4922,1349738940,250.0394,738
SBIN,196513,196039,474,0.24,15226,9474.54885,10988187097,1405.47097,1028
LICI,29034,28965,69,0.24,3246,2226.79632,1816458910,294.4641,439
COCHINSHIP,37905,37815,90,0.24,2008,1701.39224,1012349200,168.132,1417
AUBANK,34859,34777,82,0.24,1870,3612.6821,1670084610,322.9461,1068
PIIND,28774,28707,67,0.23,1812,1252.11495,722371055,140.97055,2624
MPHASIS,26643,26582,61,0.23,3192,6740.60109,1395372321,427.97471,2298
M&M,152583,152235,348,0.23,10568,8094.47184,5944869970,1024.1597,3120
VEDL,111399,111145,254,0.23,9082,5804.32151,2414506903,573.00153,276
POWERGRID,58184,58053,131,0.23,1776,1313.99478,846158654,104.29404,282
LUPIN,21477,21429,48,0.22,2063,3152.31514,1894236364,263.44364,2495
CGPOWER,42887,42793,94,0.22,1977,3342.94069,1258078098,282.55598,917
IDEA,115960,115726,234,0.2,2049,4110.18417,1819396125,301.6245,14
NAM-INDIA,13291,13267,24,0.18,366,1117.80037,169734231,42.84231,1222
KEI,18293,18260,33,0.18,1236,2139.36812,924829598,192.57098,5114
BHARATFORG,24414,24373,41,0.17,1250,3069.1648,1061317730,195.3773,2144
TVSMOTOR,96611,96455,156,0.16,2467,2946.21958,1318806630,254.5163,3650
NMDC,72715,72599,116,0.16,3337,3714.7437,1613529990,231.6249,85
PFC,64216,64122,94,0.15,2690,2898.5905,1163861309,212.00309,408
KOTAKBANK,161402,161170,232,0.14,11347,14252.9036,7383501440,1219.3144,379
SAIL,49097,49029,68,0.14,3264,6480.29561,2036793927,480.47677,170
MOTHERSON,39628,39577,51,0.13,1226,2688.18345,848216548,187.35298,143
PNBHOUSING,17978,17955,23,0.13,857,1537.31077,466929788,118.58288,1095
INFY,511745,511113,632,0.12,98222,61853.5586,36947996776,7917.58776,1068
CHOLAFIN,32791,32755,36,0.11,1744,4738.44118,1532939981,297.64981,1820
COLPAL,26428,26399,29,0.11,603,450.09734,306589104,54.80604,2061
BRITANNIA,29212,29181,31,0.11,1103,841.27323,664540563,83.28063,5387
BANKBARODA,90585,90489,96,0.11,3892,5831.0536,2309582398,418.25511,247
BANDHANBNK,45392,45345,47,0.1,13351,14595.04008,8872933860,2291.5386,207
SHREECEM,18068,18050,18,0.1,778,773.12852,473377790,54.9029,26770
HAL,66246,66183,63,0.1,7803,6034.87998,4705756615,871.44115,4451
WAAREEENER,67462,67400,62,0.09,4793,3859.87047,2124653382,399.83382,2896
JSWENERGY,39388,39355,33,0.08,2400,2743.35237,1175195439,260.20439,544
CROMPTON,32554,32534,20,0.06,1230,1539.32604,563502379,96.24754,263
BLUESTARCO,16088,16081,7,0.04,1425,1497.74105,617105219,140.67719,1630
TMPV,122732,122681,51,0.04,12398,8670.64672,6211998624,861.26624,336
PNB,67728,67713,15,0.02,2660,4881.6624,1787558960,364.0696,103
NTPC,125268,125248,20,0.02,6645,4328.2362,3109515810,378.3081,347
360ONE,15446,15445,1,0.01,2132,1366.75055,1105477285,216.77285,1125
BEL,141444,141444,0,0.0,10473,9067.01622,5454073428,863.90553,412
GAIL,35498,35501,-3,-0.01,1463,1687.31393,746827167,109.79617,173
HYUNDAI,22412,22414,-2,-0.01,1058,1527.51736,415275583,77.09083,1949
MFSL,26945,26948,-3,-0.01,884,1427.322,438430228,60.78228,1592
HINDALCO,110015,110053,-38,-0.03,19451,28306.12687,10766153013,2166.42013,983
SHRIRAMFIN,60516,60537,-21,-0.03,4271,5091.11311,3274710078,704.84328,1045
BAJAJFINSV,73830,73856,-26,-0.04,7073,4963.45611,3605219196,497.87196,1908
ALKEM,14460,14466,-6,-0.04,1375,1564.39225,839959872,108.66122,5695
PETRONET,25601,25614,-13,-0.05,1630,2601.27423,627234669,129.07669,282
BANKINDIA,30572,30589,-17,-0.06,1421,2848.26568,776048624,221.07384,140
KPITTECH,67969,68012,-43,-0.06,25694,19935.85355,9471852421,2863.35421,561
CANBK,84629,84686,-57,-0.07,3594,6025.95787,2537207010,559.2321,126
ADANIGREEN,54470,54513,-43,-0.08,7493,11060.20404,6060233748,1790.57748,1534
PATANJALI,32716,32751,-35,-0.11,771,1432.28184,207514140,34.3614,414
IEX,31554,31594,-40,-0.13,2719,2349.99876,1195219311,189.90186,120
AXISBANK,156559,156768,-209,-0.13,14442,16665.8205,10507491375,1735.16375,1320
PGEL,25227,25263,-36,-0.14,4002,3108.58952,1980984868,541.66368,583
JSWSTEEL,76294,76426,-132,-0.17,5762,8516.10786,4082529836,733.67336,1254
IDFCFIRSTB,58868,58982,-114,-0.19,4023,5256.27142,2533189576,458.94276,80
LT,168653,168980,-327,-0.19,12979,10373.89682,8056921034,1064.90784,3936
UNIONBANK,47159,47257,-98,-0.21,2653,3191.39363,1616519715,338.18903,159
APLAPOLLO,22780,22829,-49,-0.21,3266,2067.38686,1938059742,326.73742,1824
ONGC,79407,79592,-185,-0.23,5900,3808.30612,2946991207,389.44957,244
ICICIPRULI,31687,31766,-79,-0.25,2704,3370.95881,937329454,204.37079,502
WIPRO,183411,183943,-532,-0.29,16099,17706.0579,6854335500,1508.205,175
IOC,54085,54244,-159,-0.29,2887,3757.0065,1637777748,258.44373,139
ADANIENT,105962,106288,-326,-0.31,17195,24792.12535,14715908653,3500.22793,3170
AMBUJACEM,89494,89770,-276,-0.31,4548,4869.09144,1945499940,376.1394,440
HINDUNILVR,107553,107893,-340,-0.32,7334,5486.00244,4311010455,610.66455,2166
MARUTI,130970,131401,-431,-0.33,37528,17018.76691,25174587523,3168.82523,13944
RVNL,37969,38097,-128,-0.34,4341,4014.59943,1624459182,346.01682,232
VMM,11784,11825,-41,-0.35,228,509.36834,83890741,15.08641,118
HINDZINC,52438,52625,-187,-0.36,9914,9706.68354,5782916826,1137.39326,544
JINDALSTEL,34845,34974,-129,-0.37,6639,4784.22481,4026511493,875.80243,1062
RBLBANK,23078,23167,-89,-0.38,2603,5942.68464,2556187388,515.72763,371
MOTILALOFS,9777,9816,-39,-0.4,2641,4669.76552,1563940227,367.32977,970
SBICARD,64534,64792,-258,-0.4,5573,4911.63456,2301631784,331.75784,597
GODFRYPHLP,9767,9807,-40,-0.41,366,663.58677,152872252,25.84752,2124
ABB,37900,38070,-170,-0.45,3123,4107.29161,2353242376,481.79876,6908
INDUSTOWER,87059,87451,-392,-0.45,6155,9183.99534,3339007655,614.33155,397
LICHSGFIN,37062,37240,-178,-0.48,2261,2946.1714,968661430,160.1143,550
NYKAA,26593,26723,-130,-0.49,2593,4327.44687,2213240031,360.91593,325
JUBLFOOD,31284,31443,-159,-0.51,4659,3059.8785,2330012575,437.75075,437
UNOMINDA,13937,14012,-75,-0.54,2197,2666.18253,1182467957,268.84957,1172
VOLTAS,40231,40448,-217,-0.54,3319,2807.56822,1363914045,243.61545,1282
SIEMENS,33434,33636,-202,-0.6,2893,2531.29896,1574603653,340.26153,3517
UPL,35815,36033,-218,-0.61,3222,4513.968,2206071136,454.89761,596
SUPREMEIND,22335,22473,-138,-0.61,808,1365.48433,330875858,76.15858,3260
MUTHOOTFIN,35430,35661,-231,-0.65,4098,6418.49076,2929727988,541.90488,3115
BIOCON,31734,31949,-215,-0.67,4927,8955.64675,4262269500,845.445,411
OIL,22122,22285,-163,-0.73,1811,1788.81094,929576228,124.15228,423
