symbol,close,perf_1m,pct_change_oi,change_in_oi,tot_volume,tot_turnover,latest_oi,in_oi_spurt,fno_score
CROMPTON,222.0,-9.146715776550028,1.6,862.0,5665.0,15070.29041,54675.0,True,3
UNIONBANK,177.7,-2.550041129695644,1.56,689.0,7467.0,21231.71994,44914.0,True,3
VEDL,267.5,-3.079710144927536,1.53,1866.0,31267.0,20302.824155,123490.0,True,3
CANBK,124.86,-1.862768215043625,1.52,1208.0,8815.0,28841.916375,80757.0,True,3
TIINDIA,2575.2,-10.16535268262053,1.51,324.0,2195.0,5928.0985,21730.0,True,3
LTM,4061.7,-10.331810053645937,1.5,946.0,11707.0,25348.078785,64210.0,True,3
ANGELONE,293.7,2.405857740585766,1.5,433.0,11662.0,16703.3785,29247.0,True,3
INFY,1013.5,-10.468197879858655,1.48,5680.0,85293.0,82564.54384,390324.0,True,3
ONGC,235.75,-0.1059322033898305,1.47,991.0,18150.0,14781.05685,68474.0,True,3
INDIGO,4947.5,-2.7613993710691824,1.47,1362.0,34549.0,55047.382305,94176.0,True,3
ITC,269.1,-0.2224694104560496,1.46,2937.0,33507.0,41048.92869,204317.0,True,3
PAYTM,1758.1,8.34411782831083,1.43,941.0,27385.0,37635.3532725,66895.0,True,3
ADANIPORTS,1786.5,6.720430107526882,1.3,948.0,19907.0,29153.3314825,74136.0,True,3
SAGILITY,45.19,4.509713228492127,1.27,185.0,2065.0,3977.688,14731.0,True,3
KALYANKJIL,582.4,-4.2026482440990325,1.24,664.0,17147.0,24251.905845,54307.0,True,3
GLENMARK,2441.6,2.08638207133002,1.22,481.0,6965.0,27592.5598125,39875.0,True,3
ZYDUSLIFE,1165.4,5.6572982774252125,1.21,294.0,6272.0,18749.10699,24521.0,True,3
SHRIRAMFIN,1000.0,-10.54656051525182,1.2,832.0,21961.0,38257.6732725,70119.0,True,3
COLPAL,1875.1,-0.1064962726304579,1.2,495.0,6355.0,18907.810735,41905.0,True,3
PREMIERENE,899.1,-12.538910505836574,1.2,432.0,3955.0,6301.746035,36347.0,True,3
AMBER,7006.5,-4.119055764625385,1.19,350.0,4385.0,9858.25039,29705.0,True,3
BPCL,312.45,0.1281845858035498,1.17,361.0,5518.0,11229.8652075,31306.0,True,3
LAURUSLABS,2040.2,12.842920353982302,1.16,629.0,22500.0,65794.145875,55063.0,True,3
JIOFIN,229.77,-5.053719008264459,1.13,1980.0,33078.0,63746.037255,177501.0,True,3
SUPREMEIND,3464.0,-3.458654998467153,1.11,251.0,5946.0,12880.62293,22810.0,True,3
PFC,342.65,-5.865384615384621,1.07,1328.0,16322.0,27270.21063,125577.0,True,3
MARICO,829.2,-1.881434149804754,1.06,272.0,3898.0,14589.24096,26009.0,True,3
SONACOMS,830.45,3.059071729957817,1.04,239.0,9791.0,20529.570915,23266.0,True,3
NMDC,81.84,-4.72642607683353,1.03,801.0,5529.0,15400.0359,78278.0,True,3
M&M,3016.0,-11.66046688732023,0.98,1299.0,28868.0,41985.23084,134378.0,True,3
TATAPOWER,365.6,-1.9839142091152755,0.96,856.0,12718.0,24854.71013,89628.0,True,3
APLAPOLLO,2173.8,1.3426573426573511,0.88,490.0,5573.0,13371.279985,56018.0,True,3
ADANIENT,2953.9,-1.4709806537691763,0.81,820.0,25096.0,37256.2546815,101864.0,True,3
POLYCAB,8380.0,-7.193089318345423,0.81,435.0,13099.0,40772.0443,54050.0,True,3
PAGEIND,37520.0,5.7646229739253,0.78,174.0,11780.0,21202.216186,22534.0,True,3
BHARTIARTL,1816.4,-5.690550363447555,0.76,1694.0,59109.0,98374.3776275,223733.0,True,3
TMPV,299.9,-4.76341695776437,0.76,1065.0,25171.0,30198.47712,141483.0,True,3
BIOCON,393.3,-4.283280603553168,0.73,313.0,6401.0,18727.185,42907.0,True,3
HAL,4814.0,-1.5582184777718666,0.68,610.0,28238.0,24723.93393,90929.0,True,3
GODFRYPHLP,1992.9,-5.325415676959616,0.67,81.0,1342.0,1822.0387625,12188.0,True,3
PGEL,517.5,-13.316582914572864,0.63,158.0,2802.0,5949.023025,25205.0,True,3
ASTRAL,1398.8,-8.251344614980976,0.59,183.0,5309.0,9517.465045,30901.0,True,3
LUPIN,2103.9,-3.6057912581324953,0.57,212.0,6827.0,16722.86702,37289.0,True,3
BEL,395.25,-2.886977886977887,0.51,724.0,20037.0,24795.528105,142574.0,True,3
ASIANPAINT,2431.4,-7.5864690231850975,0.41,265.0,14703.0,18787.120375,65079.0,True,3
WIPRO,164.69,-9.156599922775662,0.4,577.0,30234.0,82765.5675,144780.0,True,3
GODREJPROP,1702.4,-16.348091002899114,0.4,245.0,9765.0,12573.6124475,61396.0,True,3
MARUTI,12116.0,-10.97068116687486,0.39,688.0,72832.0,39666.9089,177508.0,True,3
VOLTAS,1121.0,-9.38485166922641,0.38,258.0,14503.0,22885.1434875,68371.0,True,3
GODREJCP,876.85,-5.60340187318333,0.35,175.0,9432.0,17348.9027,49491.0,True,3
KFINTECH,903.95,-6.809278350515459,0.35,77.0,3327.0,8572.1708975,22299.0,True,3
MUTHOOTFIN,2835.9,-11.62667497662823,0.34,219.0,15982.0,24067.88538,64530.0,True,3
TATAELXSI,3220.0,-12.35471841911865,0.3,156.0,11763.0,11064.844225,52030.0,True,3
HINDUNILVR,1929.9,-4.649209486166003,0.26,295.0,40937.0,33940.1742,113067.0,True,3
BLUESTARCO,1531.9,1.855053191489368,0.26,99.0,5558.0,12795.5450675,37947.0,True,3
MAHABANK,83.31,3.2214099863709684,0.19,26.0,1921.0,2214.77035,13600.0,True,3
HINDZINC,592.75,-1.2083333333333333,0.17,114.0,18525.0,18790.6360075,65423.0,True,3
NATIONALUM,359.2,-10.646766169154231,0.15,78.0,15142.0,13487.1256875,53499.0,True,3
SBIN,985.5,-4.874517374517374,0.13,385.0,70245.0,87299.71725,300507.0,True,3
