symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
SAGILITY,277,1358,1635,1522.14,786015000.0,1638.69,12078,45.47
IEX,283,1493,1776,1443.65451,805780689.0,1593.05265,29708,117.01
CONCOR,227,1128,1355,1423.928875,736490187.5,1541.39325,29234,500.2
FINNIFTY,56,5346,5402,871.929744,8459332116.6,1504.70091,13220,25774.55
WAAREEENER,275,2632,2907,1251.9453625,1240663105.5,1450.6639175,59880,2601.2
VMM,264,1355,1619,1325.438555,722179550.0,1444.530305,21551,103.4
PHOENIXLTD,199,2749,2948,1325.59371,1978533480.0,1431.61851,15969,1899.0
GAIL,203,2274,2477,1267.742275,1451150824.0,1430.594265,33713,174.82
MANKIND,236,970,1206,1366.8176,589760055.0,1418.96815,18770,2308.5
BRITANNIA,181,2737,2918,1142.22755,1778447340.0,1283.57595,36758,5032.0
NBCC,220,449,669,1221.2603,262055625.0,1279.67905,23820,85.36
TORNTPHARM,192,1149,1341,1182.5922,738811120.0,1275.2034,36332,4893.5
TATAELXSI,258,2583,2841,1121.989275,1210976457.5,1274.94135,33272,3478.6
SRF,225,1525,1750,1143.75878,795382666.0,1242.48544,32961,2527.2
PIIND,270,2049,2319,1131.06091,906177898.5,1232.752395,37048,2401.5
FORTIS,167,339,506,1175.3870875,244922792.75,1212.892515,19841,904.4
OIL,160,927,1087,1094.98928,652228290.0,1209.68218,14462,487.25
PREMIERENE,160,1190,1350,1034.77088,811392887.5,1173.849755,27153,988.5
UNOMINDA,160,600,760,1089.02222,422309563.5,1169.077855,14699,1235.5
JUBLFOOD,180,927,1107,1065.16175,573948687.5,1135.148625,29361,474.35
NHPC,191,1103,1294,1003.58139,597233655.0,1065.91594,28899,75.36
GODFRYPHLP,163,509,672,901.629135,296142090.75,943.6500425,9268,2014.6
MAHABANK,159,690,849,879.3044,394583800.0,940.6774,9207,85.4
IRFC,182,1609,1791,815.986185,759124047.5,909.87666,36418,82.48
SAIL,90,9,99,802.63216,8229136.0,803.37852,51612,188.39
SHREECEM,110,968,1078,648.71982,599293007.25,717.2748925,21551,23450.0
BAJAJHLDNG,73,181,254,605.00316,154638942.0,634.36758,4852,11028.0
INOXWIND,105,33,138,505.38624,16327296.0,509.9392,30552,74.82
KAYNES,86,183,269,454.767705,105284514.0,464.362845,56334,3649.4
LICHSGFIN,83,45,128,457.886,25323010.0,460.9161,51653,551.65
NIFTYNXT50,15,33,48,272.928335,62483523.0,274.938565,871,72728.25
