symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
CLSL,Process Industries,Chemicals: Agricultural,,unmapped,-10.8499095840868,-7.562499999999997,-0.07,-3.51,,-10.78,-4.05,
DELPHIFX,Commercial Services,Miscellaneous Commercial Services,,unmapped,-19.031719532554263,-28.04154302670624,-0.07,-3.51,,-18.96,-24.53,
SONAL,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-7.171270718232039,-7.4779735682819295,-0.07,-3.51,0.0,-7.1,-3.97,-7.48
SHEEL,Process Industries,Agricultural Commodities/Milling,,unmapped,1.1804384485666153,-6.176700547302584,-0.07,-3.51,,1.25,-2.67,
CUBEXTUB,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,7.065700851442372,6.916243654822338,-0.07,-3.51,0.0,7.14,10.43,6.92
HINDCON,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,2.426778242677832,8.800000000000002,-0.07,-3.51,0.0,2.5,12.31,8.8
CROWN,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-2.0210896309314563,8.021701220693664,-0.07,-3.51,0.0,-1.95,11.53,8.02
QUESTLAB,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-10.065515187611677,-12.46376811594203,-0.07,-3.51,2.44,-10.0,-8.95,-14.9
HECPROJECT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-0.2794242167654516,1.3075268817204266,-0.07,-3.51,0.0,-0.21,4.82,1.31
AMDIND,Producer Manufacturing,Miscellaneous Manufacturing,NIFTY_INFRA,sector,6.711647727272729,10.33596475123922,-0.07,-3.51,0.0,6.78,13.85,10.34
SAMPANN,Producer Manufacturing,Miscellaneous Manufacturing,NIFTY_INFRA,sector,-1.2653061224489743,-7.671755725190832,-0.07,-3.51,0.0,-1.2,-4.16,-7.67
AESTHETIK,Consumer Durables,Home Furnishings,NIFTY_AUTO,sector,1.8248175182481752,-2.515723270440248,-0.07,-3.51,0.0,1.89,0.99,-2.52
BSL,Process Industries,Textiles,,unmapped,-3.1132230050794667,-4.204131227217495,-0.07,-3.51,,-3.04,-0.69,
LATTEYS,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-4.691128657686956,-10.782608695652176,-0.07,-3.51,0.0,-4.62,-7.27,-10.78
DTL,Technology Services,Information Technology Services,NIFTY_IT,industry,-3.007812499999996,3.458333333333338,-0.07,-3.51,-6.31,-2.94,6.97,9.77
CHEMCRUX,Process Industries,Chemicals: Major Diversified,,unmapped,-7.780979827089337,-8.151549942594713,-0.07,-3.51,,-7.71,-4.64,
GSLSU,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,2.2909090909090875,-16.279761904761912,-0.07,-3.51,0.0,2.36,-12.77,-16.28
PRAMARA,Consumer Durables,Recreational Products,NIFTY_AUTO,sector,-2.1764705882352877,-33.21285140562248,-0.07,-3.51,0.0,-2.11,-29.7,-33.21
PARTYCRUS,Consumer Services,Other Consumer Services,NIFTY_FMCG,sector,8.88888888888889,22.5,-0.07,-3.51,0.0,8.96,26.01,22.5
GJL,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,21.12167300380229,43.29734592892488,-0.07,-3.51,0.0,21.19,46.81,43.3
OBCL,Transportation,Trucking,,unmapped,1.4109347442680724,4.564466266593922,-0.07,-3.51,,1.48,8.07,
RSDFIN,Finance,Financial Conglomerates,NIFTY_FIN_SERVICE,industry,0.3952991452991501,6.144809669038741,-0.07,-3.51,0.0,0.47,9.65,6.14
CFEL,Process Industries,Textiles,,unmapped,5.01640881387717,47.61120263591432,-0.07,-3.51,,5.09,51.12,
ASSAMENT,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,-5.677489570107025,-3.4055727554179565,-0.07,-3.51,0.0,-5.61,0.1,-3.41
VISHWARAJ,Process Industries,Agricultural Commodities/Milling,,unmapped,-4.166666666666659,-8.159722222222218,-0.07,-3.51,,-4.1,-4.65,
VIAZ,Consumer Durables,Automotive Aftermarket,NIFTY_AUTO,industry,1.460823373173982,9.142857142857151,-0.07,-3.51,0.0,1.53,12.65,9.14
LAHOTIOV,Process Industries,Textiles,,unmapped,-2.6341463414634103,-2.6103927787265198,-0.07,-3.51,,-2.56,0.9,
INDBANK,Finance,Investment Banks/Brokers,NIFTY_FIN_SERVICE,industry,-8.258527827648116,-19.14556962025317,-0.07,-3.51,0.0,-8.19,-15.64,-19.15
BNALTD,Process Industries,Agricultural Commodities/Milling,,unmapped,-11.22780695173793,-14.230490456632031,-0.07,-3.51,,-11.16,-10.72,
MEGAFLEX,Process Industries,Containers/Packaging,,unmapped,-2.525773195876292,-0.4736842105263187,-0.07,-3.51,,-2.46,3.04,
DHARIWAL,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,-16.27118644067797,33.87533875338754,-0.07,-3.51,0.0,-16.2,37.39,33.88
ITL,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-3.068150963888137,10.185185185185183,-0.07,-3.51,0.0,-3.0,13.7,10.19
HAPPY,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,-7.147007553747811,20.87745839636916,-0.07,-3.51,0.0,-7.08,24.39,20.88
KOHINOOR,Process Industries,Agricultural Commodities/Milling,,unmapped,3.1333333333333377,-10.344827586206888,-0.07,-3.51,,3.2,-6.83,
THAKDEV,Consumer Durables,Homebuilding,NIFTY_REALTY,industry,-2.403367776502105,-18.26282051282051,-0.07,-3.51,0.0,-2.33,-14.75,-18.26
DEEP,Process Industries,Chemicals: Specialty,,unmapped,10.65732237796036,23.15761161915008,-0.07,-3.51,,10.73,26.67,
NAGAFERT,Process Industries,Chemicals: Agricultural,,unmapped,-9.230769230769228,-21.68141592920353,-0.07,-3.51,,-9.16,-18.17,
GANGESSECU,Consumer Non-Durables,Food: Specialty/Candy,NIFTY_FMCG,industry,-3.262711864406775,-2.4358974358974312,-0.07,-3.51,0.0,-3.19,1.07,-2.44
