symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
SWSOLAR,2026-08-28,199.15,195.37,803620,312327,38.87,1585.59,10202
PGEL,2026-08-28,596.0,585.85,533664,207340,38.85,3145.45,11736
VARROC,2026-08-28,813.15,821.85,194076,75363,38.83,1579.85,13923
SAIL,2026-08-28,193.0,200.0,48585004,18852154,38.8,96382.43,118490
SIYSIL,2026-08-28,564.8,567.55,23148,8972,38.76,130.8,2056
JPOLYINVST,2026-08-28,966.1,1025.0,21055,8155,38.73,212.35,1610
MAGADSUGAR,2026-08-28,551.0,584.15,71010,27477,38.69,407.31,3936
ESCORTS,2026-08-28,2974.1,3015.5,65907,25461,38.63,1992.26,13016
STYL,2026-08-28,399.95,402.1,130545,50399,38.61,531.13,4881
APOLLOPIPE,2026-08-28,638.55,631.0,204371,78862,38.59,1285.16,7446
DISAQ,2026-08-28,11590.0,12208.0,819,315,38.46,98.36,563
UNICHEMLAB,2026-08-28,539.75,564.25,330176,126934,38.44,1848.22,12615
IFGLEXPOR,2026-08-28,212.96,215.47,20333,7813,38.43,43.65,882
ADVANIHOTR,2026-08-28,49.92,50.01,55736,21422,38.43,28.25,537
TBOTEK,2026-08-28,1696.6,1682.7,54341,20871,38.41,915.32,7773
AERONEU,2026-08-28,81.88,80.68,3586,1377,38.4,2.93,259
JAINREC,2026-08-28,285.05,287.95,811696,311442,38.37,2345.44,16108
VIKRAMSOLR,2026-08-28,172.01,172.71,1282945,492161,38.36,2216.45,12861
ARVEE,2026-08-28,170.59,169.0,823,315,38.27,1.4,48
BAJAJHLDNG,2026-08-28,11399.0,11340.0,31945,12222,38.26,3625.82,6759
GEEKAYWIRE,2026-08-28,23.02,24.69,595471,227785,38.25,144.94,3009
SPARC,2026-08-28,194.98,207.71,2167701,825443,38.08,4446.49,29986
SAICAPI,2026-08-28,140.51,148.5,247,94,38.06,0.36,22
PGIL,2026-08-28,2294.8,2314.3,24478,9310,38.03,566.26,4977
EPACKPEB,2026-08-28,233.95,225.65,394792,150142,38.03,901.68,5160
GKENERGY,2026-08-28,139.65,138.46,670822,254962,38.01,930.32,8306
RELAXO,2026-08-28,356.1,356.75,169422,64385,38.0,604.26,9377
HSCL,2026-08-28,674.35,672.95,8440567,3204707,37.97,56927.98,65459
GCSL,2026-08-28,540.55,541.3,433052,164118,37.9,2350.59,4031
HEXT,2026-08-28,556.6,555.7,188517,71351,37.85,1056.15,14813
ASSAMENT,2026-08-28,741.0,778.05,172,65,37.79,1.25,9
ZYDUSWELL,2026-08-28,535.2,526.55,171032,64495,37.71,911.27,10624
KABRAEXTRU,2026-08-28,589.6,603.5,278180,104806,37.68,1664.73,10623
GMRP&UI,2026-08-28,94.54,93.35,3307470,1245972,37.67,3134.63,34509
WIPRO,2026-08-28,176.4,180.95,14686269,5526958,37.63,26476.12,78138
LODHA,2026-08-28,1246.3,1274.0,995058,374280,37.61,12561.99,27575
HATHWAY,2026-08-28,10.55,10.57,1196466,447314,37.39,126.58,1785
CDSL,2026-08-28,1410.8,1414.7,1052357,392124,37.26,14834.03,34284
YASHO,2026-08-28,4341.7,4338.8,16813,6259,37.23,731.51,4335
APOLLO,2026-08-28,386.35,387.45,3217421,1195843,37.17,12422.95,22693
MRPL,2026-08-28,170.8,168.53,2978571,1106648,37.15,5050.64,21213
KOLTEPATIL,2026-08-28,447.95,448.2,46188,17147,37.12,207.04,2119
ELGIRUBCO,2026-08-28,58.16,60.94,134200,49692,37.03,81.72,2225
CROMPTON,2026-08-28,237.9,233.0,5656422,2092021,36.98,13172.39,50707
3MINDIA,2026-08-28,34245.0,34415.0,2422,895,36.95,836.68,1347
MASTERTR,2026-08-28,83.34,82.68,132504,48955,36.95,109.69,533
MCX,2026-08-28,3273.0,3332.0,1360874,502572,36.93,44956.87,71961
TURTLEMINT,2026-08-28,153.64,152.65,3794826,1401157,36.92,5877.33,40796
