symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
GROWW,Miscellaneous,,13.632124352331608,5.189697347594605,0.68,0.57,,12.95,4.62,
BANKBARODA,Finance,NIFTY_FIN_SERVICE,3.3035528776231,-10.6076950737145,0.68,0.57,6.04,2.62,-11.18,-16.65
BRITANNIA,Consumer Non-Durables,NIFTY_FMCG,-0.3098009763424709,2.11558803731128,0.68,0.57,-0.49,-0.99,1.55,2.61
SIEMENS,Producer Manufacturing,NIFTY_AUTO,4.683581219014287,-0.592633619495987,0.68,0.57,3.58,4.0,-1.16,-4.17
TMPV,Consumer Durables,NIFTY_AUTO,0.40552718534095,-16.08084358523726,0.68,0.57,3.58,-0.27,-16.65,-19.66
BOSCHLTD,Producer Manufacturing,NIFTY_AUTO,-0.2403268445085316,5.623409669211196,0.68,0.57,3.58,-0.92,5.05,2.04
MUTHOOTFIN,Finance,NIFTY_FIN_SERVICE,-2.0227354157844992,-4.960505529225909,0.68,0.57,6.04,-2.7,-5.53,-11.0
ENRIN,Producer Manufacturing,NIFTY_AUTO,4.083449565243208,-1.811310190369536,0.68,0.57,3.58,3.4,-2.38,-5.39
PNB,Finance,NIFTY_FIN_SERVICE,4.575098814229245,-2.090850217411421,0.68,0.57,6.04,3.9,-2.66,-8.13
TATAPOWER,Utilities,NIFTY_ENERGY,2.08891269416176,-5.876543209876545,0.68,0.57,2.07,1.41,-6.45,-7.95
HDFCLIFE,Finance,NIFTY_FIN_SERVICE,4.883303411131068,0.3780068728522415,0.68,0.57,6.04,4.2,-0.19,-5.66
LTM,Technology Services,NIFTY_IT,7.387862796833773,3.826530612244898,0.68,0.57,0.94,6.71,3.26,2.89
GMRAIRPORT,Transportation,NIFTY_AUTO,0.8918115485091387,3.8383089189690343,0.68,0.57,3.58,0.21,3.27,0.26
BAJAJHLDNG,Finance,NIFTY_FIN_SERVICE,1.5300230946882216,1.9420289855072463,0.68,0.57,6.04,0.85,1.37,-4.1
CIPLA,Health Technology,NIFTY_PHARMA,0.6713286713286649,4.122667438159989,0.68,0.57,7.74,-0.01,3.55,-3.62
IRFC,Finance,NIFTY_FIN_SERVICE,1.4707559001254205,-8.951406649616368,0.68,0.57,6.04,0.79,-9.52,-14.99
GVT&D,Producer Manufacturing,NIFTY_AUTO,5.09273743016759,-2.8326446280991813,0.68,0.57,3.58,4.41,-3.4,-6.41
LODHA,Finance,NIFTY_FIN_SERVICE,5.213034843834628,25.87612722069225,0.68,0.57,6.04,4.53,25.31,19.84
CANBK,Finance,NIFTY_FIN_SERVICE,4.212860310421294,-4.125113327289217,0.68,0.57,6.04,3.53,-4.7,-10.17
HDFCAMC,Finance,NIFTY_FIN_SERVICE,2.0186915887850465,4.045140874604442,0.68,0.57,6.04,1.34,3.48,-1.99
ZYDUSLIFE,Health Technology,NIFTY_PHARMA,0.8362369337979015,6.309119294701057,0.68,0.57,7.74,0.16,5.74,-1.43
